"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 2022","3,942.7800000","3,969.6200000","3,973.0200000","3,915.0800000","13,868,478,805","0,0"
"May 18, 2022","3,962.4800000","3,935.4100000","4,015.2800000","3,935.4100000","26,655,631,641","0,0"
"May 17, 2022","3,927.7900000","3,877.9400000","3,933.1200000","3,872.5500000","25,893,965,708","0,0"
"May 16, 2022","3,859.6300000","3,789.4200000","3,879.5100000","3,789.0400000","18,649,117,137","0,0"
"May 13, 2022","3,791.0500000","3,806.6100000","3,824.3200000","3,766.8900000","9,756,328,517","0,0"
"May 12, 2022","3,790.1700000","3,910.6400000","3,913.7000000","3,771.2200000","14,505,081,340","0,0"
"May 11, 2022","3,916.3900000","3,926.7400000","3,958.2500000","3,887.8800000","11,778,887,572","0,0"
"May 06, 2022","3,928.6600000","3,940.1500000","3,941.1400000","3,890.8300000","12,036,603,689","0,0"
"May 05, 2022","3,940.0400000","3,892.8500000","3,944.0100000","3,892.8500000","11,636,312,745","0,0"
"May 04, 2022","3,888.2200000","4,004.9000000","4,025.9300000","3,888.2200000","18,630,152,742","0,0"
"Apr 29, 2022","3,995.6000000","3,900.4600000","4,000.3600000","3,895.5900000","30,935,533,947","0,0"
"Apr 28, 2022","3,896.9800000","3,987.4200000","4,057.0700000","3,892.7500000","42,244,838,774","0,0"
"Apr 27, 2022","3,973.7600000","3,869.5800000","3,984.4400000","3,845.7100000","34,825,097,426","0,0"
"Apr 26, 2022","3,856.4400000","3,672.3200000","3,901.9000000","3,670.8500000","30,718,794,947","0,0"
"Apr 25, 2022","3,664.8700000","3,726.1900000","3,726.1900000","3,630.4800000","14,324,066,398","0,0"
"Apr 22, 2022","3,715.3500000","3,742.7800000","3,789.1200000","3,701.8200000","23,466,220,334","0,0"
"Apr 21, 2022","3,739.4100000","3,778.3300000","3,789.7900000","3,718.5400000","18,864,853,045","0,0"
"Apr 20, 2022","3,774.7900000","3,729.7600000","3,814.9600000","3,655.9300000","24,071,105,412","0,0"
"Apr 19, 2022","3,716.3500000","3,733.7800000","3,736.5500000","3,553.9200000","24,003,164,122","0,0"
"Apr 18, 2022","3,734.3300000","3,876.1600000","3,890.6600000","3,734.3300000","15,545,677,077","0,0"
"Apr 15, 2022","3,868.6700000","3,831.2900000","3,868.6700000","3,737.8600000","15,365,330,633","0,0"
"Apr 14, 2022","3,831.6600000","3,996.1800000","4,003.5000000","3,831.6600000","15,440,239,167","0,0"
"Apr 13, 2022","3,992.7700000","4,022.0400000","4,043.4300000","3,974.9500000","11,963,639,429","0,0"
"Apr 12, 2022","4,014.3800000","4,029.5100000","4,047.7900000","3,881.7200000","22,630,511,354","0,0"
"Apr 11, 2022","4,019.0700000","4,092.5200000","4,140.5600000","4,019.0700000","17,745,634,775","0,0"
"Apr 08, 2022","4,087.4500000","4,168.5400000","4,182.4500000","4,030.5700000","19,866,583,652","0,0"
"Apr 07, 2022","4,170.8600000","4,152.2100000","4,203.0400000","4,148.3000000","20,917,516,406","0,0"
"Apr 06, 2022","4,144.2100000","4,181.4400000","4,270.5300000","4,110.6600000","29,520,681,635","0,0"
"Apr 05, 2022","4,217.7200000","4,418.8500000","4,433.0400000","4,102.5900000","46,906,388,820","0,0"
"Apr 04, 2022","4,400.4100000","4,352.3000000","4,459.6400000","4,233.1200000","44,652,524,012","0,0"
"Apr 01, 2022","4,330.7300000","4,238.4300000","4,394.1000000","4,238.4300000","47,977,317,938","0,0"
